,PH,PL
2001-09-19,1017.9583333333333,1017.8333333333334
2001-09-20,991.625,1010.75
2001-09-21,953.0,977.0
2001-09-24,1007.75,992.75
2001-09-25,1020.1666666666667,1010.9166666666666
2001-09-26,1019.625,1020.0
2001-09-27,1024.0,1013.5
2001-09-28,1045.3333333333335,1035.0833333333333
2001-10-01,1046.0,1039.25
2001-10-02,1057.0416666666665,1046.6666666666667
2001-10-03,1074.6666666666665,1060.1666666666667
2001-10-04,1081.3333333333335,1083.8333333333333
2001-10-05,1075.6666666666665,1072.4166666666667
2001-10-08,1069.9166666666665,1068.9166666666667
2001-10-09,1066.2083333333335,1069.8333333333333
2001-10-10,1083.8333333333335,1070.5833333333333
2001-10-11,1101.875,1093.25
2001-10-12,1097.5,1093.0
2001-10-15,1095.6666666666665,1090.1666666666667
2001-10-16,1103.125,1101.25
2001-10-17,1087.3333333333335,1106.3333333333333
2001-10-18,1078.625,1078.25
2001-10-19,1076.125,1072.0
2001-10-22,1094.4166666666665,1082.1666666666667
2001-10-23,1094.375,1097.75
2001-10-24,1091.5833333333335,1096.3333333333333
2001-10-25,1102.0416666666665,1084.1666666666667
2001-10-26,1107.5833333333335,1109.3333333333333
2001-10-29,1082.9166666666665,1097.6666666666667
2001-10-30,1065.875,1070.75
2001-10-31,1064.4583333333335,1074.0833333333333
2001-11-01,1083.1666666666665,1071.6666666666667
2001-11-02,1092.375,1086.0
2001-11-05,1106.875,1101.25
2001-11-06,1121.8333333333335,1109.3333333333333
2001-11-07,1123.7916666666665,1123.1666666666667
2001-11-08,1129.5833333333335,1132.8333333333333
2001-11-09,1126.9583333333335,1122.3333333333333
2001-11-12,1120.4166666666665,1114.9166666666667
2001-11-13,1142.375,1129.25
2001-11-14,1148.3333333333335,1147.8333333333333
2001-11-15,1149.7083333333335,1148.0833333333333
2001-11-16,1145.2916666666665,1146.1666666666667
2001-11-19,1156.8333333333335,1150.3333333333333
2001-11-20,1150.7916666666665,1155.4166666666667
2001-11-21,1143.0,1146.0
2001-11-23,1154.375,1144.25
2001-11-26,1159.2083333333335,1156.8333333333333
2001-11-27,1156.25,1158.5
2001-11-28,1137.7083333333335,1148.0833333333333
2001-11-29,1146.25,1136.5
2001-11-30,1141.75,1146.25
2001-12-03,1135.25,1137.5
2001-12-04,1149.4583333333335,1139.5833333333333
2001-12-05,1171.125,1162.5
2001-12-06,1173.75,1174.5
2001-12-07,1165.7916666666665,1166.6666666666667
2001-12-10,1147.6666666666665,1159.4166666666667
2001-12-11,1143.375,1149.75
2001-12-12,1141.7083333333335,1138.5833333333333
2001-12-13,1124.3333333333335,1135.0833333333333
2001-12-14,1131.0416666666665,1131.1666666666667
2001-12-17,1138.5416666666665,1131.1666666666667
2001-12-18,1147.375,1144.0
2001-12-19,1154.0833333333335,1146.0833333333333
2001-12-20,1146.2083333333335,1152.8333333333333
2001-12-21,1153.2916666666665,1148.9166666666667
2001-12-24,1151.5,1150.75
2001-12-26,1157.7083333333335,1156.8333333333333
2001-12-27,1163.0416666666665,1158.6666666666667
2001-12-28,1165.1666666666665,1167.9166666666667
2001-12-31,1155.2083333333335,1158.0833333333333
2002-01-02,1156.4583333333335,1148.8333333333333
2002-01-03,1169.2916666666665,1161.9166666666667
2002-01-04,1178.8333333333335,1174.5833333333333
2002-01-07,1173.2083333333335,1177.5833333333333
2002-01-08,1168.7083333333335,1169.3333333333333
2002-01-09,1162.5416666666665,1171.6666666666667
2002-01-10,1163.4166666666665,1160.1666666666667
